gene_id	gene_description	pathway	topic_ecosystem	category	subcategory
K07093	phoX, Alkaline phosphatase X	organic P mineralization	ag	Phosphorus	
K09474	phoN, Acid phosphatase class A	organic P mineralization	ag	Phosphorus	
K03788	aphA, Acid phosphatase class B	organic P mineralization	ag	Phosphorus	
K01078	olpA Acid phosphatase class C	organic P mineralization	ag	Phosphorus	
K01093	appA, 4-phytase	organic P mineralization	ag	Phosphorus	
K01083	3-phytase	organic P mineralization	ag	Phosphorus	
K06166	phnG, C–P lyase multienzyme complex	organic P mineralization	ag	Phosphorus	
K06165	phnH, C–P lyase multienzyme complex	organic P mineralization	ag	Phosphorus	
K06164	phnI, C–P lyase multienzyme complex	organic P mineralization	ag	Phosphorus	
K06163	phnJ, C–P lyase multienzyme complex	organic P mineralization	ag	Phosphorus	
K05781	phnK, C–P lyase multienzyme complex	organic P mineralization	ag	Phosphorus	
K05780	phnL, C–P lyase multienzyme complex	organic P mineralization	ag	Phosphorus	
K06162	phnM, C–P lyase multienzyme complex	organic P mineralization	ag	Phosphorus	
K01507	ppa, Inorganic pyrophosphatase	inorganic P solubuiliation	ag	Phosphorus	
K01514	ppx, Exopolyphosphatase	inorganic P solubuiliation	ag	Phosphorus	
K00937	ppk1, Polyphosphate kinase	inorganic P solubuiliation	ag	Phosphorus	
K00117	gcd, Quinoprotein glucose dehydrogenase	inorganic P solubuiliation	ag	Phosphorus	
K06137	pqqC, Pyrroloquinoline quinone synthase C	inorganic P solubuiliation	ag	Phosphorus	
K07657	phoB, Phosphate regulon response regulator	P-starvation response regulation	ag	Phosphorus	
K07636	phoR, Phosphate regulon sensor histidine kinase	P-starvation response regulation	ag	Phosphorus	
K02039	phoU, PhoR/phoB inhibitor protein	P-starvation response regulation	ag	Phosphorus	
K01430	ureA, urease subunit gamma	Urea Degradation	ag	Nitrogen 	
K01429	ureB, urease subunit beta	Urea Degradation	ag	Nitrogen 	
K01428	ureC, urease subunit alpha (largest aplha unit of protein structure)	Urea Degradation	ag	Nitrogen 	
K00368	nir= nitrite reductase (NO-forming) [EC:1.7.2.1] [RN:R00783 R00785]	nitrite + ammonia => nitrogen	ag	Nitrogen 	
K00370	nxr= nitrite oxidoreductase [EC:1.7.99.4] [RN:R00798]	nitrite + ammonia => nitrogen	ag	Nitrogen 	
K00371	nxr= nitrite oxidoreductase [EC:1.7.99.4] [RN:R00798]	nitrite + ammonia => nitrogen	ag	Nitrogen 	
K10535	hox= hydroxylamine oxidase [EC:1.7.2.6] [RN:R10164]	nitrite + ammonia => nitrogen	ag	Nitrogen 	
K15864	nir= nitrite reductase (NO-forming) [EC:1.7.2.1] [RN:R00783 R00785]	nitrite + ammonia => nitrogen	ag	Nitrogen 	
K00360	assimilatory nitrate reductase [EC:1.7.99.-] [RN:R00798]	Assimilatory nitrate reduction= nitrate => ammonia	ag	Nitrogen 	
K00366	assimilatory nitrite reductase [EC:1.7.7.1] [RN:R00790]	Assimilatory nitrate reduction= nitrate => ammonia	ag	Nitrogen 	
K00372	assimilatory nitrate reductase [EC:1.7.99.-] [RN:R00798]	Assimilatory nitrate reduction= nitrate => ammonia	ag	Nitrogen 	
K00370	nitrite oxidoreductase [EC:1.7.99.4] [RN:R00798]	Complete nitrification= comammox= ammonia => nitrite => nitrate	ag	Nitrogen 	
