gene_id	gene_description	pathway	topic_ecosystem	category	subcategory	potential_amg
K01647	citrate synthase [EC:2.3.3.1] [RN:R00351]	Citrate cycle (TCA cycle, Krebs cycle)	carbon utilization	central carbon	TCA	TRUE
K05942	citrate (Re)-synthase [EC:2.3.3.3] [RN:R00351]	Citrate cycle (TCA cycle, Krebs cycle)	carbon utilization	central carbon	TCA	TRUE
K01681	aconitate hydratase [EC:4.2.1.3] [RN:R01325 R01900 R01324]	Citrate cycle (TCA cycle, Krebs cycle)	carbon utilization	central carbon	TCA	TRUE
K01682	aconitate hydratase [EC:4.2.1.3] [RN:R01325 R01900 R01324]	Citrate cycle (TCA cycle, Krebs cycle)	carbon utilization	central carbon	TCA	TRUE
K00031	isocitrate dehydrogenase [EC:1.1.1.42 1.1.1.41] [RN:R01899 R00268 R00267 R00709]	Citrate cycle (TCA cycle, Krebs cycle)	carbon utilization	central carbon	TCA	TRUE
K00030	isocitrate dehydrogenase [EC:1.1.1.42 1.1.1.41] [RN:R01899 R00268 R00267 R00709]	Citrate cycle (TCA cycle, Krebs cycle)	carbon utilization	central carbon	TCA	TRUE
K00164	2-oxoglutarate dehydrogenase complex [EC:1.2.4.2 2.3.1.61 1.8.1.4] [RN:R00621 R03316 R02570 R07618]	Citrate cycle (TCA cycle, Krebs cycle)	carbon utilization	central carbon	TCA	TRUE
K00658	2-oxoglutarate dehydrogenase complex [EC:1.2.4.2 2.3.1.61 1.8.1.4] [RN:R00621 R03316 R02570 R07618]	Citrate cycle (TCA cycle, Krebs cycle)	carbon utilization	central carbon	TCA	TRUE
K00382	2-oxoglutarate dehydrogenase complex [EC:1.2.4.2 2.3.1.61 1.8.1.4] [RN:R00621 R03316 R02570 R07618]	Citrate cycle (TCA cycle, Krebs cycle)	carbon utilization	central carbon	TCA	TRUE
K00174	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11] [RN:R01197]	Citrate cycle (TCA cycle, Krebs cycle)	carbon utilization	central carbon	TCA	TRUE
K00175	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11] [RN:R01197]	Citrate cycle (TCA cycle, Krebs cycle)	carbon utilization	central carbon	TCA	TRUE
K00177	2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3] [RN:R01197]	Citrate cycle (TCA cycle, Krebs cycle)	carbon utilization	central carbon	TCA	TRUE
K00176	2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3] [RN:R01197]	Citrate cycle (TCA cycle, Krebs cycle)	carbon utilization	central carbon	TCA	TRUE
K01902	succinyl-CoA synthetase [EC:6.2.1.5] [RN:R00405]	Citrate cycle (TCA cycle, Krebs cycle)	carbon utilization	central carbon	TCA	TRUE
K01903	succinyl-CoA synthetase [EC:6.2.1.5] [RN:R00405]	Citrate cycle (TCA cycle, Krebs cycle)	carbon utilization	central carbon	TCA	TRUE
K01899	succinyl-CoA synthetase [EC:6.2.1.4 6.2.1.5] [RN:R00405 R00432 R00727]	Citrate cycle (TCA cycle, Krebs cycle)	carbon utilization	central carbon	TCA	TRUE
K01900	succinyl-CoA synthetase [EC:6.2.1.4 6.2.1.5] [RN:R00405 R00432 R00727]	Citrate cycle (TCA cycle, Krebs cycle)	carbon utilization	central carbon	TCA	TRUE
K18118	succinyl-CoA:acetate CoA-transferase [EC:2.8.3.18] [RN:R10343]	Citrate cycle (TCA cycle, Krebs cycle)	carbon utilization	central carbon	TCA	TRUE
K00234	succinate dehydrogenase [EC:1.3.5.1] [RN:R02164]	Citrate cycle (TCA cycle, Krebs cycle)	carbon utilization	central carbon	TCA	TRUE
K00235	succinate dehydrogenase [EC:1.3.5.1] [RN:R02164]	Citrate cycle (TCA cycle, Krebs cycle)	carbon utilization	central carbon	TCA	TRUE
K00236	succinate dehydrogenase [EC:1.3.5.1] [RN:R02164]	Citrate cycle (TCA cycle, Krebs cycle)	carbon utilization	central carbon	TCA	TRUE
K00237	succinate dehydrogenase [EC:1.3.5.1] [RN:R02164]	Citrate cycle (TCA cycle, Krebs cycle)	carbon utilization	central carbon	TCA	TRUE
K00239	succinate dehydrogenase / fumarate reductase [EC:1.3.5.1 1.3.5.4] [RN:R02164]	Citrate cycle (TCA cycle, Krebs cycle)	carbon utilization	central carbon	TCA	TRUE
K00240	succinate dehydrogenase / fumarate reductase [EC:1.3.5.1 1.3.5.4] [RN:R02164]	Citrate cycle (TCA cycle, Krebs cycle)	carbon utilization	central carbon	TCA	TRUE
K00241	succinate dehydrogenase / fumarate reductase [EC:1.3.5.1 1.3.5.4] [RN:R02164]	Citrate cycle (TCA cycle, Krebs cycle)	carbon utilization	central carbon	TCA	TRUE
K00242	succinate dehydrogenase / fumarate reductase [EC:1.3.5.1 1.3.5.4] [RN:R02164]	Citrate cycle (TCA cycle, Krebs cycle)	carbon utilization	central carbon	TCA	TRUE
K18859	succinate dehydrogenase / fumarate reductase [EC:1.3.5.1 1.3.5.4] [RN:R02164]	Citrate cycle (TCA cycle, Krebs cycle)	carbon utilization	central carbon	TCA	TRUE
K18860	succinate dehydrogenase / fumarate reductase [EC:1.3.5.1 1.3.5.4] [RN:R02164]	Citrate cycle (TCA cycle, Krebs cycle)	carbon utilization	central carbon	TCA	TRUE
K00244	fumarate reductase [EC:1.3.5.4] [RN:R02164]	Citrate cycle (TCA cycle, Krebs cycle)	carbon utilization	central carbon	TCA	TRUE
K00245	fumarate reductase [EC:1.3.5.4] [RN:R02164]	Citrate cycle (TCA cycle, Krebs cycle)	carbon utilization	central carbon	TCA	TRUE
K00246	fumarate reductase [EC:1.3.5.4] [RN:R02164]	Citrate cycle (TCA cycle, Krebs cycle)	carbon utilization	central carbon	TCA	TRUE
K00247	fumarate reductase [EC:1.3.5.4] [RN:R02164]	Citrate cycle (TCA cycle, Krebs cycle)	carbon utilization	central carbon	TCA	TRUE
K01676	fumarate hydratase [EC:4.2.1.2] [RN:R01082]	Citrate cycle (TCA cycle, Krebs cycle)	carbon utilization	central carbon	TCA	TRUE
K01679	fumarate hydratase [EC:4.2.1.2] [RN:R01082]	Citrate cycle (TCA cycle, Krebs cycle)	carbon utilization	central carbon	TCA	TRUE
K01677	fumarate hydratase [EC:4.2.1.2] [RN:R01082]	Citrate cycle (TCA cycle, Krebs cycle)	carbon utilization	central carbon	TCA	TRUE
K01678	fumarate hydratase [EC:4.2.1.2] [RN:R01082]	Citrate cycle (TCA cycle, Krebs cycle)	carbon utilization	central carbon	TCA	TRUE
K00026	malate dehydrogenase [EC:1.1.1.37] [RN:R00342]	Citrate cycle (TCA cycle, Krebs cycle)	carbon utilization	central carbon	TCA	TRUE
K00025	malate dehydrogenase [EC:1.1.1.37] [RN:R00342]	Citrate cycle (TCA cycle, Krebs cycle)	carbon utilization	central carbon	TCA	TRUE
K00024	malate dehydrogenase [EC:1.1.1.37] [RN:R00342]	Citrate cycle (TCA cycle, Krebs cycle)	carbon utilization	central carbon	TCA	TRUE
K00116	malate dehydrogenase (quinone) [EC:1.1.5.4] [RN:R00361]	Citrate cycle (TCA cycle, Krebs cycle)	carbon utilization	central carbon	TCA	TRUE
K01647	citrate synthase [EC:2.3.3.1] [RN:R00351]	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	carbon utilization	central carbon	TCA	TRUE
K05942	citrate (Re)-synthase [EC:2.3.3.3] [RN:R00351]	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	carbon utilization	central carbon	TCA	TRUE
K01681	aconitate hydratase [EC:4.2.1.3] [RN:R01325 R01900 R01324]	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	carbon utilization	central carbon	TCA	TRUE
K01682	aconitate hydratase [EC:4.2.1.3] [RN:R01325 R01900 R01324]	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	carbon utilization	central carbon	TCA	TRUE
K00031	isocitrate dehydrogenase [EC:1.1.1.42 1.1.1.41] [RN:R01899 R00268 R00267 R00709]	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	carbon utilization	central carbon	TCA	TRUE
K00030	isocitrate dehydrogenase [EC:1.1.1.42 1.1.1.41] [RN:R01899 R00268 R00267 R00709]	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	carbon utilization	central carbon	TCA	TRUE
K00164	2-oxoglutarate dehydrogenase [EC:1.2.4.2 2.3.1.61 1.8.1.4] [RN:R00621 R03316 R02570 R07618]	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	carbon utilization	central carbon	TCA	TRUE
