gene_id	gene_description	pathway	topic_ecosystem	category	subcategory	potential_amg
K13811	sulfate adenylyltransferase [EC:2.7.7.4] [RN:R00529]	Assimilatory sulfate reduction, sulfate => H2S	Energy	Sulfur		TRUE
K00958	sulfate adenylyltransferase [EC:2.7.7.4] [RN:R00529]	Assimilatory sulfate reduction, sulfate => H2S	Energy	Sulfur		TRUE
K00860	adenylylsulfate kinase [EC:2.7.1.25] [RN:R00509]	Assimilatory sulfate reduction, sulfate => H2S	Energy	Sulfur		TRUE
K00955	sulfate adenylyltransferase [EC:2.7.7.4] [RN:R00529]	Assimilatory sulfate reduction, sulfate => H2S	Energy	Sulfur		TRUE
K00957	sulfate adenylyltransferase [EC:2.7.7.4] [RN:R00529]	Assimilatory sulfate reduction, sulfate => H2S	Energy	Sulfur		TRUE
K00956	sulfate adenylyltransferase [EC:2.7.7.4] [RN:R00529]	Assimilatory sulfate reduction, sulfate => H2S	Energy	Sulfur		TRUE
K00390	phosphoadenosine phosphosulfate reductase [EC:1.8.4.8] [RN:R02021]	Assimilatory sulfate reduction, sulfate => H2S	Energy	Sulfur		TRUE
K00380	sulfite reductase (NADPH) [EC:1.8.1.2] [RN:R00858]	Assimilatory sulfate reduction, sulfate => H2S	Energy	Sulfur		TRUE
K00381	sulfite reductase (NADPH) [EC:1.8.1.2] [RN:R00858]	Assimilatory sulfate reduction, sulfate => H2S	Energy	Sulfur		TRUE
K00392	sulfite reductase (ferredoxin) [EC:1.8.7.1] [RN:R00859]	Assimilatory sulfate reduction, sulfate => H2S	Energy	Sulfur		TRUE
K17222	soxA; sulfur-oxidizing protein SoxA	Thiosulfate oxidation by SOX complex, thiosulfate => sulfate	Energy	Sulfur		TRUE
K17223	soxX; sulfur-oxidizing protein SoxX	Thiosulfate oxidation by SOX complex, thiosulfate => sulfate	Energy	Sulfur		TRUE
K17224	soxB; sulfur-oxidizing protein SoxB	Thiosulfate oxidation by SOX complex, thiosulfate => sulfate	Energy	Sulfur		TRUE
K17225	soxC; S-disulfanyl-L-cysteine oxidoreductase SoxC [EC:1.8.2.6]	Thiosulfate oxidation by SOX complex, thiosulfate => sulfate	Energy	Sulfur		TRUE
K22622	soxD; S-disulfanyl-L-cysteine oxidoreductase SoxD [EC:1.8.2.6]	Thiosulfate oxidation by SOX complex, thiosulfate => sulfate	Energy	Sulfur		TRUE
K17226	soxY; sulfur-oxidizing protein SoxY	Thiosulfate oxidation by SOX complex, thiosulfate => sulfate	Energy	Sulfur		TRUE
K17227	soxZ; sulfur-oxidizing protein SoxZ	Thiosulfate oxidation by SOX complex, thiosulfate => sulfate	Energy	Sulfur		TRUE
K00956	sulfate adenylyltransferase [EC:2.7.7.4] [RN:R00529]	Dissimilatory sulfate reduction, sulfate => H2S	Energy	Sulfur		TRUE
K00957	sulfate adenylyltransferase [EC:2.7.7.4] [RN:R00529]	Dissimilatory sulfate reduction, sulfate => H2S	Energy	Sulfur		TRUE
K00958	sulfate adenylyltransferase [EC:2.7.7.4] [RN:R00529]	Dissimilatory sulfate reduction, sulfate => H2S	Energy	Sulfur		TRUE
K00394	adenylylsulfate reductase [EC:1.8.99.2] [RN:R08553]	Dissimilatory sulfate reduction, sulfate => H2S	Energy	Sulfur		TRUE
K00395	adenylylsulfate reductase [EC:1.8.99.2] [RN:R08553]	Dissimilatory sulfate reduction, sulfate => H2S	Energy	Sulfur		TRUE
K11180	sulfite reductase, dissimilatory-type [EC:1.8.99.5] [RN:R00861]	Dissimilatory sulfate reduction, sulfate => H2S	Energy	Sulfur		TRUE
K11181	sulfite reductase, dissimilatory-type [EC:1.8.99.5] [RN:R00861]	Dissimilatory sulfate reduction, sulfate => H2S	Energy	Sulfur		TRUE
K08352	thiosulfate reductase / polysulfide reductase chain A [EC:1.8.5.5]		Energy	Sulfur		TRUE
K01011	rhodanase		Energy	Sulfur		TRUE
K08357	tetrathionate => thiosulfate		Energy	Sulfur		TRUE
K02703	psbA; photosystem II reaction center D1 protein [EC:1.10.3.9]	Photosystem II	Energy	Photosynthesis		TRUE
K02706	psbD; photosystem II reaction center D2 protein [EC:1.10.3.9]	Photosystem II	Energy	Photosynthesis		TRUE
K02705	psbC; photosystem II CP43 chlorophyll apoprotein	Photosystem II	Energy	Photosynthesis		TRUE
K02704	psbB; photosystem II CP47 chlorophyll apoprotein	Photosystem II	Energy	Photosynthesis		TRUE
K02707	psbE; photosystem II cytochrome b559 subunit alpha	Photosystem II	Energy	Photosynthesis		TRUE
K02708	psbF; photosystem II cytochrome b559 subunit beta	Photosystem II	Energy	Photosynthesis		TRUE
K02635	cytochrome b6	Cytochrome b6f complex	Energy	Photosynthesis		TRUE
K02637	cytochrome b6-f complex subunit 4	Cytochrome b6f complex	Energy	Photosynthesis		TRUE
K02634	apocytochrome f	Cytochrome b6f complex	Energy	Photosynthesis		TRUE
K02636	cytochrome b6-f complex iron-sulfur subunit	Cytochrome b6f complex	Energy	Photosynthesis		TRUE
K02642	cytochrome b6-f complex subunit 6	Cytochrome b6f complex	Energy	Photosynthesis		TRUE
K02643	cytochrome b6-f complex subunit 7	Cytochrome b6f complex	Energy	Photosynthesis		TRUE
K03689	cytochrome b6-f complex subunit 8	Cytochrome b6f complex	Energy	Photosynthesis		TRUE
K02640	cytochrome b6-f complex subunit 5	Cytochrome b6f complex	Energy	Photosynthesis		TRUE
K02689	psaA; photosystem I P700 chlorophyll a apoprotein A1	Photosystem I	Energy	Photosynthesis		TRUE
K02690	psaB; photosystem I P700 chlorophyll a apoprotein A2	Photosystem I	Energy	Photosynthesis		TRUE
K02691	psaC; photosystem I subunit VII	Photosystem I	Energy	Photosynthesis		TRUE
K02692	psaD; photosystem I subunit II	Photosystem I	Energy	Photosynthesis		TRUE
K02693	psaE; photosystem I subunit IV	Photosystem I	Energy	Photosynthesis		TRUE
K02694	psaF; photosystem I subunit III	Photosystem I	Energy	Photosynthesis		TRUE
K00281	glycine cleavage system [RN:R01221]	Photorespiration	Energy	Photosynthesis		TRUE
K00283	glycine cleavage system [RN:R01221]	Photorespiration	Energy	Photosynthesis		TRUE
K00605	glycine cleavage system [RN:R01221]	Photorespiration	Energy	Photosynthesis		TRUE
K00382	glycine cleavage system [RN:R01221]	Photorespiration	Energy	Photosynthesis		TRUE
K02437	glycine cleavage system [RN:R01221]	Photorespiration	Energy	Photosynthesis		TRUE
K08928	pufL; photosynthetic reaction center L subunit	Anoxygenic photosystem II	Energy	Photosynthesis		TRUE
K08929	pufM; photosynthetic reaction center M subunit	Anoxygenic photosystem II	Energy	Photosynthesis		TRUE
K08940	pscA; photosystem P840 reaction center large subunit	Anoxygenic photosystem I	Energy	Photosynthesis		TRUE
K08941	pscB; photosystem P840 reaction center iron-sulfur protein	Anoxygenic photosystem I	Energy	Photosynthesis		TRUE
K08942	pscC; photosystem P840 reaction center cytochrome c551	Anoxygenic photosystem I	Energy	Photosynthesis		TRUE
K08943	pscD; photosystem P840 reaction center protein PscD	Anoxygenic photosystem I	Energy	Photosynthesis		TRUE
K02638	plastocyanin	Cytochrome b6f complex	Energy	Photosynthesis		TRUE
K02639	ferredoxin	Cytochrome b6f complex	Energy	Photosynthesis		TRUE
K02641	ferredoxin--NADP+ reductase	Cytochrome b6f complex	Energy	Photosynthesis		TRUE
K00412	CYTB; ubiquinol-cytochrome c reductase cytochrome b subunit	Cytochrome bc1 complex respiratory unit	Energy	Oxygen		TRUE
K00413	CYC1; ubiquinol-cytochrome c reductase cytochrome c1 subunit	Cytochrome bc1 complex respiratory unit	Energy	Oxygen		TRUE
K00410	fbcH; ubiquinol-cytochrome c reductase cytochrome b/c1 subunit	Cytochrome bc1 complex respiratory unit	Energy	Oxygen		TRUE
K00411	UQCRFS1; ubiquinol-cytochrome c reductase iron-sulfur subunit	Cytochrome bc1 complex respiratory unit	Energy	Oxygen		TRUE
K03886	MQCRA; menaquinol-cytochrome c reductase iron-sulfur subunit [EC:1.10.2.-]	Cytochrome bc1 complex respiratory unit	Energy	Oxygen		TRUE
K03887	MQCRB; menaquinol-cytochrome c reductase cytochrome b subunit	Cytochrome bc1 complex respiratory unit	Energy	Oxygen		TRUE
K03888	MQCRC; menaquinol-cytochrome c reductase cytochrome b/c subunit	Cytochrome bc1 complex respiratory unit	Energy	Oxygen		TRUE
K03890	qcrA; ubiquinol-cytochrome c reductase iron-sulfur subunit	Cytochrome bc1 complex respiratory unit	Energy	Oxygen		TRUE
K03891	qcrB; ubiquinol-cytochrome c reductase cytochrome b subunit	Cytochrome bc1 complex respiratory unit	Energy	Oxygen		TRUE
K03889	qcrC; ubiquinol-cytochrome c reductase cytochrome c subunit	Cytochrome bc1 complex respiratory unit	Energy	Oxygen		TRUE
K00412	CYTB; ubiquinol-cytochrome c reductase cytochrome b subunit	Cytochrome bc1 complex	Energy	Oxygen		TRUE
K00413	CYC1; ubiquinol-cytochrome c reductase cytochrome c1 subunit	Cytochrome bc1 complex	Energy	Oxygen		TRUE
K00410	FBCH; ubiquinol-cytochrome c reductase cytochrome b/c1 subunit	Cytochrome bc1 complex	Energy	Oxygen		TRUE
K00411	UQCRFS1; ubiquinol-cytochrome c reductase iron-sulfur subunit	Cytochrome bc1 complex	Energy	Oxygen		TRUE
K00414	QCR1; ubiquinol-cytochrome c reductase core subunit 1	Cytochrome bc1 complex	Energy	Oxygen		TRUE
K00415	QCR2; ubiquinol-cytochrome c reductase core subunit 2	Cytochrome bc1 complex	Energy	Oxygen		TRUE
K00416	QCR6; ubiquinol-cytochrome c reductase subunit 6	Cytochrome bc1 complex	Energy	Oxygen		TRUE
K00417	QCR7; ubiquinol-cytochrome c reductase subunit 7	Cytochrome bc1 complex	Energy	Oxygen		TRUE
K00418	QCR8; ubiquinol-cytochrome c reductase subunit 8	Cytochrome bc1 complex	Energy	Oxygen		TRUE
K00419	QCR9; ubiquinol-cytochrome c reductase subunit 9	Cytochrome bc1 complex	Energy	Oxygen		TRUE
K00420	QCR10; ubiquinol-cytochrome c reductase subunit 10	Cytochrome bc1 complex	Energy	Oxygen		TRUE
K00425	cytochrome bd ubiquinol oxidase subunit I [EC:1.10.3.14]	Cytochrome bd ubiquinol oxidase	Energy	Oxygen		TRUE
K00426	cytochrome bd ubiquinol oxidase subunit II [EC:1.10.3.14]	Cytochrome bd ubiquinol oxidase	Energy	Oxygen		TRUE
K00424	cydX; cytochrome bd-I ubiquinol oxidase subunit X [EC:1.10.3.14]	Cytochrome bd ubiquinol oxidase	Energy	Oxygen		TRUE
K22501	appX; cytochrome bd-II ubiquinol oxidase subunit AppX [EC:1.10.3.14]	Cytochrome bd ubiquinol oxidase	Energy	Oxygen		TRUE
K02257	COX10; protoheme IX farnesyltransferase [EC:2.5.1.-]	Cytochrome c oxidase	Energy	Oxygen		TRUE
K02262	COX3; cytochrome c oxidase subunit 3	Cytochrome c oxidase	Energy	Oxygen		TRUE
K02256	COX1; cytochrome c oxidase subunit 1 [EC:1.9.3.1]	Cytochrome c oxidase	Energy	Oxygen		TRUE
K02261	COX2; cytochrome c oxidase subunit 2	Cytochrome c oxidase	Energy	Oxygen		TRUE
K02263	COX4; cytochrome c oxidase subunit 4	Cytochrome c oxidase	Energy	Oxygen		TRUE
K02264	COX5A; cytochrome c oxidase subunit 5a	Cytochrome c oxidase	Energy	Oxygen		TRUE
K02265	COX5B; cytochrome c oxidase subunit 5b	Cytochrome c oxidase	Energy	Oxygen		TRUE
K02266	COX6A; cytochrome c oxidase subunit 6a	Cytochrome c oxidase	Energy	Oxygen		TRUE
K02267	COX6B; cytochrome c oxidase subunit 6b	Cytochrome c oxidase	Energy	Oxygen		TRUE
K02268	COX6C; cytochrome c oxidase subunit 6c	Cytochrome c oxidase	Energy	Oxygen		TRUE
K02269	COX7; cytochrome c oxidase subunit 7	Cytochrome c oxidase	Energy	Oxygen		TRUE
K02270	COX7A; cytochrome c oxidase subunit 7a	Cytochrome c oxidase	Energy	Oxygen		TRUE
K02271	COX7B; cytochrome c oxidase subunit 7b	Cytochrome c oxidase	Energy	Oxygen		TRUE
K02272	COX7C; cytochrome c oxidase subunit 7c	Cytochrome c oxidase	Energy	Oxygen		TRUE
K02273	COX8; cytochrome c oxidase subunit 8	Cytochrome c oxidase	Energy	Oxygen		TRUE
K02258	COX11; cytochrome c oxidase assembly protein subunit 11	Cytochrome c oxidase	Energy	Oxygen		TRUE
K02259	COX15; cytochrome c oxidase assembly protein subunit 15	Cytochrome c oxidase	Energy	Oxygen		TRUE
K02260	COX17; cytochrome c oxidase assembly protein subunit 17	Cytochrome c oxidase	Energy	Oxygen		TRUE
K02275	coxB; cytochrome c oxidase subunit II [EC:1.9.3.1]	Cytochrome c oxidase, prokaryotes	Energy	Oxygen		TRUE
K02274	coxA; cytochrome c oxidase subunit I [EC:1.9.3.1]	Cytochrome c oxidase, prokaryotes	Energy	Oxygen		TRUE
K02276	coxC; cytochrome c oxidase subunit III [EC:1.9.3.1]	Cytochrome c oxidase, prokaryotes	Energy	Oxygen		TRUE
K15408	coxAC; cytochrome c oxidase subunit I+III [EC:1.9.3.1]	Cytochrome c oxidase, prokaryotes	Energy	Oxygen		TRUE
K02277	coxD; cytochrome c oxidase subunit IV [EC:1.9.3.1]	Cytochrome c oxidase, prokaryotes	Energy	Oxygen		TRUE
K00404	ccoN; cb-type cytochrome c oxidase subunit I [EC:1.9.3.1]	Cytochrome c oxidase, cbb3-type	Energy	Oxygen		TRUE
K00405	ccoO; cb-type cytochrome c oxidase subunit II	Cytochrome c oxidase, cbb3-type	Energy	Oxygen		TRUE
K15862	ccoNO; cbb3-type cytochrome c oxidase subunit I/II	Cytochrome c oxidase, cbb3-type	Energy	Oxygen		TRUE
K00407	ccoQ; cb-type cytochrome c oxidase subunit IV	Cytochrome c oxidase, cbb3-type	Energy	Oxygen		TRUE
K00406	ccoP; cb-type cytochrome c oxidase subunit III	Cytochrome c oxidase, cbb3-type	Energy	Oxygen		TRUE
K02827	qoxB; cytochrome aa3-600 menaquinol oxidase subunit I [EC:1.10.3.12]	Cytochrome aa3-600 menaquinol oxidase	Energy	Oxygen		TRUE
K02826	qoxA; cytochrome aa3-600 menaquinol oxidase subunit II [EC:1.10.3.12]	Cytochrome aa3-600 menaquinol oxidase	Energy	Oxygen		TRUE
K02828	qoxC; cytochrome aa3-600 menaquinol oxidase subunit III [EC:1.10.3.12]	Cytochrome aa3-600 menaquinol oxidase	Energy	Oxygen		TRUE
K02829	qoxD; cytochrome aa3-600 menaquinol oxidase subunit IV [EC:1.10.3.12]	Cytochrome aa3-600 menaquinol oxidase	Energy	Oxygen		TRUE
K02297	cyoA; cytochrome o ubiquinol oxidase subunit II [EC:1.10.3.10]	Cytochrome o ubiquinol oxidase	Energy	Oxygen		TRUE
K02298	cyoB; cytochrome o ubiquinol oxidase subunit I [EC:1.10.3.10]	Cytochrome o ubiquinol oxidase	Energy	Oxygen		TRUE
K02299	cyoC; cytochrome o ubiquinol oxidase subunit III	Cytochrome o ubiquinol oxidase	Energy	Oxygen		TRUE
K02300	cyoD; cytochrome o ubiquinol oxidase operon protein cyoD	Cytochrome o ubiquinol oxidase	Energy	Oxygen		TRUE
K00937	polyphosphate kinase ???	Cytochrome d ubiquinol oxidase	Energy	Oxygen		TRUE
K20932	hzs; Hydrazine synthase subunit (aka: hzsC) [EC:1.7.2.7] [RN:R09799]	Nitrification, ammonia => nitrite	Energy	Nitrogen		TRUE
K20933	hzs; Hydrazine synthase subunit (aka: hzsC) [EC:1.7.2.7] [RN:R09799]	Nitrification, ammonia => nitrite	Energy	Nitrogen		TRUE
K20934	hzs; Hydrazine synthase subunit (aka: hzsC) [EC:1.7.2.7] [RN:R09799]	Nitrification, ammonia => nitrite	Energy	Nitrogen		TRUE
K20935	hzs; Hydrazine synthase subunit (aka: hzsC) [EC:1.7.2.7] [RN:R09799]	Nitrification, ammonia => nitrite	Energy	Nitrogen		TRUE
K02588	nitrogenase iron protein [RN:R05185]	Nitrogen fixation, nitrogen => ammonia	Energy	Nitrogen		TRUE
K02586	nitrogenase molybdenum-iron protein [EC:1.18.6.1] [RN:R05185]	Nitrogen fixation, nitrogen => ammonia	Energy	Nitrogen		TRUE
K02591	nitrogenase molybdenum-iron protein [EC:1.18.6.1] [RN:R05185]	Nitrogen fixation, nitrogen => ammonia	Energy	Nitrogen		TRUE
K00531	nitrogenase delta subunit [EC:1.18.6.1] [RN:R05185]	Nitrogen fixation, nitrogen => ammonia	Energy	Nitrogen		TRUE
K22896	vanadium-dependent nitrogenase [EC:1.18.6.2] [RN:R12084]	Nitrogen fixation, nitrogen => ammonia	Energy	Nitrogen		TRUE
K22897	vanadium-dependent nitrogenase [EC:1.18.6.2] [RN:R12084]	Nitrogen fixation, nitrogen => ammonia	Energy	Nitrogen		TRUE
K22898	vanadium nitrogenase delta subunit [EC:1.18.6.2] [RN:R12084]	Nitrogen fixation, nitrogen => ammonia	Energy	Nitrogen		TRUE
K22899	vanadium nitrogenase iron protein [RN:R12084]	Nitrogen fixation, nitrogen => ammonia	Energy	Nitrogen		TRUE
K10944	ammonia monooxygenase [EC:1.14.99.39] [RN:R00148]	Nitrification, ammonia => nitrite	Energy	Nitrogen		TRUE
K10945	ammonia monooxygenase [EC:1.14.99.39] [RN:R00148]	Nitrification, ammonia => nitrite	Energy	Nitrogen		TRUE
