gene_id	gene_description	pathway	topic_ecosystem	category	subcategory	potential_amg
K02981	small subunit ribosomal protein S2e	Ribosome, eukaryotes	MISC	Information systems		TRUE
K02985	small subunit ribosomal protein S3e	Ribosome, eukaryotes	MISC	Information systems		TRUE
K02984	small subunit ribosomal protein S3Ae	Ribosome, eukaryotes	MISC	Information systems		TRUE
K02987	small subunit ribosomal protein S4e	Ribosome, eukaryotes	MISC	Information systems		TRUE
K02989	small subunit ribosomal protein S5e	Ribosome, eukaryotes	MISC	Information systems		TRUE
K02991	small subunit ribosomal protein S6e	Ribosome, eukaryotes	MISC	Information systems		TRUE
K02993	small subunit ribosomal protein S7e	Ribosome, eukaryotes	MISC	Information systems		TRUE
K02995	small subunit ribosomal protein S8e	Ribosome, eukaryotes	MISC	Information systems		TRUE
K02997	small subunit ribosomal protein S9e	Ribosome, eukaryotes	MISC	Information systems		TRUE
K02947	small subunit ribosomal protein S10e	Ribosome, eukaryotes	MISC	Information systems		TRUE
K02949	small subunit ribosomal protein S11e	Ribosome, eukaryotes	MISC	Information systems		TRUE
K02951	small subunit ribosomal protein S12e	Ribosome, eukaryotes	MISC	Information systems		TRUE
K02953	small subunit ribosomal protein S13e	Ribosome, eukaryotes	MISC	Information systems		TRUE
K02955	small subunit ribosomal protein S14e	Ribosome, eukaryotes	MISC	Information systems		TRUE
K02958	small subunit ribosomal protein S15e	Ribosome, eukaryotes	MISC	Information systems		TRUE
K02957	small subunit ribosomal protein S15Ae	Ribosome, eukaryotes	MISC	Information systems		TRUE
K02960	small subunit ribosomal protein S16e	Ribosome, eukaryotes	MISC	Information systems		TRUE
K02962	small subunit ribosomal protein S17e	Ribosome, eukaryotes	MISC	Information systems		TRUE
K02964	small subunit ribosomal protein S18e	Ribosome, eukaryotes	MISC	Information systems		TRUE
K02966	small subunit ribosomal protein S19e	Ribosome, eukaryotes	MISC	Information systems		TRUE
K02969	small subunit ribosomal protein S20e	Ribosome, eukaryotes	MISC	Information systems		TRUE
K02971	small subunit ribosomal protein S21e	Ribosome, eukaryotes	MISC	Information systems		TRUE
K02973	small subunit ribosomal protein S23e	Ribosome, eukaryotes	MISC	Information systems		TRUE
K02974	small subunit ribosomal protein S24e	Ribosome, eukaryotes	MISC	Information systems		TRUE
K02975	small subunit ribosomal protein S25e	Ribosome, eukaryotes	MISC	Information systems		TRUE
K02976	small subunit ribosomal protein S26e	Ribosome, eukaryotes	MISC	Information systems		TRUE
K02978	small subunit ribosomal protein S27e	Ribosome, eukaryotes	MISC	Information systems		TRUE
K02977	small subunit ribosomal protein S27Ae	Ribosome, eukaryotes	MISC	Information systems		TRUE
K02979	small subunit ribosomal protein S28e	Ribosome, eukaryotes	MISC	Information systems		TRUE
K02980	small subunit ribosomal protein S29e	Ribosome, eukaryotes	MISC	Information systems		TRUE
K02983	small subunit ribosomal protein S30e	Ribosome, eukaryotes	MISC	Information systems		TRUE
K02998	small subunit ribosomal protein SAe	Ribosome, eukaryotes	MISC	Information systems		TRUE
K02925	large subunit ribosomal protein L3e	Ribosome, eukaryotes	MISC	Information systems		TRUE
K02930	large subunit ribosomal protein L4e	Ribosome, eukaryotes	MISC	Information systems		TRUE
K02932	large subunit ribosomal protein L5e	Ribosome, eukaryotes	MISC	Information systems		TRUE
K02934	large subunit ribosomal protein L6e	Ribosome, eukaryotes	MISC	Information systems		TRUE
K02937	large subunit ribosomal protein L7e	Ribosome, eukaryotes	MISC	Information systems		TRUE
K02936	large subunit ribosomal protein L7Ae	Ribosome, eukaryotes	MISC	Information systems		TRUE
K02938	large subunit ribosomal protein L8e	Ribosome, eukaryotes	MISC	Information systems		TRUE
K02940	large subunit ribosomal protein L9e	Ribosome, eukaryotes	MISC	Information systems		TRUE
K02866	large subunit ribosomal protein L10e	Ribosome, eukaryotes	MISC	Information systems		TRUE
K02865	large subunit ribosomal protein L10Ae	Ribosome, eukaryotes	MISC	Information systems		TRUE
K02868	large subunit ribosomal protein L11e	Ribosome, eukaryotes	MISC	Information systems		TRUE
K02870	large subunit ribosomal protein L12e	Ribosome, eukaryotes	MISC	Information systems		TRUE
K02873	large subunit ribosomal protein L13e	Ribosome, eukaryotes	MISC	Information systems		TRUE
K02872	large subunit ribosomal protein L13Ae	Ribosome, eukaryotes	MISC	Information systems		TRUE
K02875	large subunit ribosomal protein L14e	Ribosome, eukaryotes	MISC	Information systems		TRUE
K02877	large subunit ribosomal protein L15e	Ribosome, eukaryotes	MISC	Information systems		TRUE
K02880	large subunit ribosomal protein L17e	Ribosome, eukaryotes	MISC	Information systems		TRUE
K02883	large subunit ribosomal protein L18e	Ribosome, eukaryotes	MISC	Information systems		TRUE
K02882	large subunit ribosomal protein L18Ae	Ribosome, eukaryotes	MISC	Information systems		TRUE
K02885	large subunit ribosomal protein L19e	Ribosome, eukaryotes	MISC	Information systems		TRUE
K02889	large subunit ribosomal protein L21e	Ribosome, eukaryotes	MISC	Information systems		TRUE
K02891	large subunit ribosomal protein L22e	Ribosome, eukaryotes	MISC	Information systems		TRUE
K02894	large subunit ribosomal protein L23e	Ribosome, eukaryotes	MISC	Information systems		TRUE
K02893	large subunit ribosomal protein L23Ae	Ribosome, eukaryotes	MISC	Information systems		TRUE
K02896	large subunit ribosomal protein L24e	Ribosome, eukaryotes	MISC	Information systems		TRUE
K02898	large subunit ribosomal protein L26e	Ribosome, eukaryotes	MISC	Information systems		TRUE
K02901	large subunit ribosomal protein L27e	Ribosome, eukaryotes	MISC	Information systems		TRUE
K02900	large subunit ribosomal protein L27Ae	Ribosome, eukaryotes	MISC	Information systems		TRUE
K02903	large subunit ribosomal protein L28e	Ribosome, eukaryotes	MISC	Information systems		TRUE
K02905	large subunit ribosomal protein L29e	Ribosome, eukaryotes	MISC	Information systems		TRUE
K02908	large subunit ribosomal protein L30e	Ribosome, eukaryotes	MISC	Information systems		TRUE
K02910	large subunit ribosomal protein L31e	Ribosome, eukaryotes	MISC	Information systems		TRUE
K02912	large subunit ribosomal protein L32e	Ribosome, eukaryotes	MISC	Information systems		TRUE
K02915	large subunit ribosomal protein L34e	Ribosome, eukaryotes	MISC	Information systems		TRUE
K02918	large subunit ribosomal protein L35e	Ribosome, eukaryotes	MISC	Information systems		TRUE
K02917	large subunit ribosomal protein L35Ae	Ribosome, eukaryotes	MISC	Information systems		TRUE
K02920	large subunit ribosomal protein L36e	Ribosome, eukaryotes	MISC	Information systems		TRUE
K02922	large subunit ribosomal protein L37e	Ribosome, eukaryotes	MISC	Information systems		TRUE
K02921	large subunit ribosomal protein L37Ae	Ribosome, eukaryotes	MISC	Information systems		TRUE
K02923	large subunit ribosomal protein L38e	Ribosome, eukaryotes	MISC	Information systems		TRUE
K02924	large subunit ribosomal protein L39e	Ribosome, eukaryotes	MISC	Information systems		TRUE
