gene_id	gene_description	pathway	topic_ecosystem	category	subcategory	note	reference
K00531	nitrogenase delta subunit [EC:1.18.6.1] [RN:R05185]	Nitrogen fixation, nitrogen => ammonia	ag	Nitrogen Cycling	N2 Fixation		
K02586	nitrogenase molybdenum-iron protein [EC:1.18.6.1] [RN:R05185]	Nitrogen fixation, nitrogen => ammonia	ag	Nitrogen Cycling	N2 Fixation		
K02588	nitrogenase iron protein [RN:R05185]	Nitrogen fixation, nitrogen => ammonia	ag	Nitrogen Cycling	N2 Fixation		
K02591	nitrogenase molybdenum-iron protein [EC:1.18.6.1] [RN:R05185]	Nitrogen fixation, nitrogen => ammonia	ag	Nitrogen Cycling	N2 Fixation		
K22896	vanadium-dependent nitrogenase [EC:1.18.6.2] [RN:R12084]	Nitrogen fixation, nitrogen => ammonia	ag	Nitrogen Cycling	N2 Fixation		
K22897	vanadium-dependent nitrogenase [EC:1.18.6.2] [RN:R12084]	Nitrogen fixation, nitrogen => ammonia	ag	Nitrogen Cycling	N2 Fixation		
K22898	vanadium nitrogenase delta subunit [EC:1.18.6.2] [RN:R12084]	Nitrogen fixation, nitrogen => ammonia	ag	Nitrogen Cycling	N2 Fixation		
K22899	vanadium nitrogenase iron protein [RN:R12084]	Nitrogen fixation, nitrogen => ammonia	ag	Nitrogen Cycling	N2 Fixation		
K00370	narG, nitrate reductase, alpha subunit [EC:1.7.99.-] [RN:R00798]	nitrate → nitrite	ag	Nitrogen Cycling	N Reduction		
K00371	narH, nitrate reductase, beta subunit [EC:1.7.99.-] [RN:R00798]	nitrate → nitrite	ag	Nitrogen Cycling	N Reduction		
K00374	narI, nitrate reductase, gamma subunit [EC:1.7.99.-] [RN:R00798]	nitrate → nitrite	ag	Nitrogen Cycling	N Reduction		
K02567	periplasmic nitrate reductase NapA [EC:1.7.99.-] [RN:R00798]	nitrate → nitrite	ag	Nitrogen Cycling	N Reduction		
K02568	cytochrome c-type protein NapB [RN:R00798]	nitrate → nitrite	ag	Nitrogen Cycling	N Reduction		
K00368	nitrite reductase (NO-forming) [EC:1.7.2.1] [RN:R00783 R00785]	nitrite → nitric oxide	ag	Nitrogen Cycling	N Reduction		
K15864	nitrite reductase (NO-forming) [EC:1.7.2.1] [RN:R00783 R00785]	nitrite → nitric oxide	ag	Nitrogen Cycling	N Reduction		
K15877	fungal nitric oxide reductase (CYP55) [EC:1.7.1.14]	nitric oxide → nitrous oxide	ag	Nitrogen Cycling	NO to N2O		
K04561	nitric oxide reductase [EC:1.7.2.5] [RN:R00294]	nitric oxide → nitrous oxide	ag	Nitrogen Cycling	NO to N2O		
K00376	nitrous-oxide reductase [EC:1.7.2.4] [RN:R02804]	nitrous oxide → nitrogen gas	ag	Nitrogen Cycling	N2O to N2		
K02575	NRT; MFS transporter= NNP family= nitrate/nitrite transporter	Nitrate/nitrite assimilation	ag	Nitrogen Cycling	N Reduction		
K00367	narB, assimilatory nitrate reductase [EC:1.7.7.2]	Assimilatory nitrate reduction =Nitrate → nitrite	ag	Nitrogen Cycling	N Reduction		
K10534	nr, assimilatory nitrate reductase [EC:1.7.7.2]	Assimilatory nitrate reduction =Nitrate → nitrite	ag	Nitrogen Cycling	N Reduction		
K00372	assimilatory nitrate reductase [EC:1.7.99.-] [RN:R00798]	Assimilatory nitrate reduction =Nitrate → nitrite	ag	Nitrogen Cycling	N Reduction		
K00360	assimilatory nitrate reductase [EC:1.7.99.-] [RN:R00798]	Assimilatory nitrate reduction =Nitrate → nitrite	ag	Nitrogen Cycling	N Reduction		
K17877	nirA, ferredoxin-nitrite reductase [EC:1.7.7.1]	Assimilatory nitrate reduction= Nitrite → ammonium	ag	Nitrogen Cycling	N Reduction		
K00366	assimilatory nitrite reductase [EC:1.7.7.1] [RN:R00790]	Assimilatory nitrate reduction= Nitrite → ammonium	ag	Nitrogen Cycling	N Reduction		
K26139	nasE, nitrite reductase FAD-binding subunit [EC:1.7.1.-]	Assimilatory nitrate reduction= Nitrite → ammonium	ag	Nitrogen Cycling	N Reduction		
K26138	nasD, nitrite reductase NADH-binding subunit [EC:1.7.1.-]	Assimilatory nitrate reduction= Nitrite → ammonium	ag	Nitrogen Cycling	N Reduction		
K00361	nirB, NADH-nitrite reductase large subunit [EC:1.7.1.15]	Assimilatory nitrate reduction= Nitrite → ammonium	ag	Nitrogen Cycling	N Reduction		
K00370	narG, nitrate reductase alpha subunit [EC:1.7.99.-]	Dissimilatory nitrate reduction = nitrate → ammonia (via Nar system)	ag	Nitrogen Cycling	N Reduction		
K00371	narH, nitrate reductase beta subunit [EC:1.7.99.-]	Dissimilatory nitrate reduction = nitrate → ammonia (via Nar system)	ag	Nitrogen Cycling	N Reduction		
K00374	narI, nitrate reductase gamma subunit [EC:1.7.99.-]	Dissimilatory nitrate reduction = nitrate → ammonia (via Nar system)	ag	Nitrogen Cycling	N Reduction		
K02567	napA, periplasmic nitrate reductase catalytic subunit [EC:1.7.99.-]	Dissimilatory nitrate reduction = nitrate → ammonia (via Nap system)	ag	Nitrogen Cycling	N Reduction		
K02568	napB, cytochrome c-type subunit of periplasmic nitrate reductase	Dissimilatory nitrate reduction = nitrate → ammonia (via Nap system)	ag	Nitrogen Cycling	N Reduction		
K00362	nrfA, cytochrome c nitrite reductase large subunit [EC:1.7.2.2]	Dissimilatory nitrate reduction = nitrite → ammonia (via Nrf complex)	ag	Nitrogen Cycling	N Reduction		
K00363	nrfH, cytochrome c nitrite reductase small subunit	Dissimilatory nitrate reduction = nitrite → ammonia (via Nrf complex)	ag	Nitrogen Cycling	N Reduction		
K03385	nirB, nitrite reductase (NADH) large subunit [EC:1.7.1.15]	Dissimilatory nitrate reduction = nitrite → ammonia (via NirBD complex)	ag	Nitrogen Cycling	N Reduction		
K15876	nirD, nitrite reductase (NADH) small subunit [EC:1.7.1.15]	Dissimilatory nitrate reduction = nitrite → ammonia (via NirBD complex)	ag	Nitrogen Cycling	N Reduction		
K28504	ammonia monooxygenase subunit C [EC:1.14.99.39] [RN:R00148]	Nitrification = ammonia => hydroxylamine	ag	Nitrogen Cycling	Aerobic Ammonium Oxidation		
K28504	ammonia monooxygenase [EC:1.14.99.39] [RN:R00148]	Nitrification = ammonia => hydroxylamine	ag	Nitrogen Cycling	Aerobic Ammonium Oxidation		
K10945	ammonia monooxygenase [EC:1.14.99.39] [RN:R00148]	Nitrification = ammonia => hydroxylamine	ag	Nitrogen Cycling	Aerobic Ammonium Oxidation		
K10946	ammonia monooxygenase [EC:1.14.99.39] [RN:R00148]	Nitrification = ammonia => hydroxylamine	ag	Nitrogen Cycling	Aerobic Ammonium Oxidation		
K10535	hydroxylamine oxidase [EC:1.7.2.6] [RN:R10164]	Nitrification= hydroxylamine => nitrite	ag	Nitrogen Cycling	Aerobic Ammonium Oxidation		
K15864	nirS; hydroxylamine reductase, anammox	Nitrite → nitric oxide	ag	Nitrogen Cycling	Anaerobic Ammonium		
K20932	hydrazine synthase subunit [EC:1.7.2.7]	Nitric oxide + ammonium → hydrazine (HZS complex)	ag	Nitrogen Cycling	Anaerobic Ammonium		
K20935	hydrazine dehydrogenase [EC:1.7.2.8]	Hydrazine → dinitrogen gas (N₂)	ag	Nitrogen Cycling	Anaerobic Ammonium		
K00368	nirK, nitrite reductase (NO-forming) [EC:1.7.2.1]	Nitrite → nitric oxide	ag	Nitrogen Cycling	Anaerobic Ammonium Oxidation		
K20933	hzsB, hydrazine synthase subunit B [EC:1.7.2.7]	Nitric oxide + ammonium → hydrazine (HZS complex)	ag	Nitrogen Cycling	Anaerobic Ammonium Oxidation		
K20934	hzsC, hydrazine synthase subunit C [EC:1.7.2.7]	Nitric oxide + ammonium → hydrazine (HZS complex)	ag	Nitrogen Cycling	Anaerobic Ammonium Oxidation		
K01428	ureC, urease subunit alpha (largest alpha unit of protein structure)	Urea → CO₂ + NH₃	ag	Nitrogen Cycling	Mineralization		
K01429	ureB, urease subunit beta	Urea → CO₂ + NH₃	ag	Nitrogen Cycling	Mineralization		
K01430	ureA, urease subunit gamma	Urea → CO₂ + NH₃	ag	Nitrogen Cycling	Mineralization		
K01426	Amidase, amiE [EC:3.5.1.4]	R–CONH₂ → NH₃ + R–COOH	ag	Nitrogen Cycling	Mineralization		Ekenler and Tabatabai, "Arylamidase and Amidohydrolases in Soils as Affected by Liming and Tillage Systems."
K01455	Formamidase [EC:3.5.1.49]	Formamide → NH₃ + formic acid	ag	Nitrogen Cycling	Mineralization		
K18282	CynD, cyanide dihydratase [EC:3.5.5.1]	Hydrogen cyanide → formamide → NH₃	ag	Nitrogen Cycling	Mineralization		
K01207  	N-acetyl-β-D-glucosaminidase (NAGase) [EC 3.2.1.52]	Hydrolyzes chitin oligomers into N-acetylglucosamine monomers	ag	Nitrogen Cycling	Mineralization		
K01183	ChiC, chitinase [EC:3.2.1.14]	Hydrolyzes β-1,4 linkages in chitin polymers	ag	Nitrogen Cycling	Mineralization		
K03791	Putative chitinase	Hydrolyzes chitin or chitooligosaccharides	ag	Nitrogen Cycling	Mineralization		
K13381	ChiA, chitinase	Degrades crystalline chitin into soluble oligomers	ag	Nitrogen Cycling	Mineralization		
K20547	ChiB, basic endochitinase B	Degrades internal β-1,4 linkages in chitin polymers	ag	Nitrogen Cycling	Mineralization		
K17523	Chitinase-like enzyme [EC:3.2.1.14]	Additional chitin-degrading hydrolase	ag	Nitrogen Cycling	Mineralization		
K17524	Chitinase-like enzyme [EC:3.2.1.14]	Additional chitin-degrading hydrolase	ag	Nitrogen Cycling	Mineralization		
