gene_id	gene_description	module	subheader	topic_ecosystem	note	reference	count	pathway
ExtABCD		"Nutrient Cycling , Redox Ladder"	Iron Reduction	bgc
FmnA	fegenie db: HMM	"Nutrient Cycling , Redox Ladder"	Iron Reduction	bgc
MtrA	fegenie db: HMM	"Nutrient Cycling , Redox Ladder"	Iron Reduction	bgc
MtrB_TIGR03509	fegenie db: HMM	"Nutrient Cycling , Redox Ladder"	Iron Reduction	bgc
MtrC_TIGR03507	fegenie db: HMM	"Nutrient Cycling , Redox Ladder"	Iron Reduction	bgc
omcF	fegenie db: HMM	"Nutrient Cycling , Redox Ladder"	Iron Reduction	bgc
omcS	fegenie db: HMM	"Nutrient Cycling , Redox Ladder"	Iron Reduction	bgc
omcZ	fegenie db: HMM	"Nutrient Cycling , Redox Ladder"	Iron Reduction	bgc
HgcA	hgcA;Cobalamin-dependent mercury methyltransferase HgcA	Environmental Adaptation	Mercury Methylation	bgc
dsrA		Redox Ladder	Sulfate Reduction	bgc
dsrB		Redox Ladder	Sulfate Reduction	bgc
AlkB|AlmA_GroupI|AlmA_GroupIII|pBmoA|pBmoB|pBmoC|sBmoX|sBmoY|sBmoZ|CYP153|LadA_alpha|LadA_beta|LadB|PrmA|PrmC|AhyA|AssA		Carbon Transformations	Hydrocarbons (Alkanes)	bgc
TmoA_BmoA|TmoB_BmoB|TmoE|TomA1|TomA3|TomA4|AbcA_1|AbcA_2|EbdA|BssA|DmpO|CmdA|MAH_alpha|MAH_beta		Carbon Transformations	Hydrocarbons (Benzene/Toluene/Ethylbenzene/Xylene)	bgc
NmsA|NdoB|NdoC|non_NdoB_type|K27540		Carbon Transformations	Hydrocarbons (Polycyclic Aromatic Hydrocarbons)	bgc
K08691	mcl; malyl-CoA/(S)-citramalyl-CoA lyase [EC:4.1.3.24 4.1.3.25]	"Carbon Transformations , Greenhouse Gases"	"3-Hydroxypropionate Cycle , Carbon Dioxide Reduction"	bgc
K09709	meh; 3-methylfumaryl-CoA hydratase [EC:4.2.1.153] [RN:R09282]	"Carbon Transformations , Greenhouse Gases"	"3-Hydroxypropionate Cycle , Carbon Dioxide Reduction"	bgc
K14449	"mch, mcd;2-methylfumaryl-CoA hydratase [EC:4.2.1.148] [RN:R05076]"	"Carbon Transformations , Greenhouse Gases"	"3-Hydroxypropionate Cycle , Carbon Dioxide Reduction"	bgc
K14470	mct;2-methylfumaryl-CoA isomerase [EC:5.4.1.3] [RN:R09283]	"Carbon Transformations , Greenhouse Gases"	"3-Hydroxypropionate Cycle , Carbon Dioxide Reduction"	bgc
K00193	"cdhC; acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit beta [EC:2.3.1.169] [RN:R09096 R10219]"	Greenhouse Gases	Acetoclastic Methanogenesis	bgc				"Acetyl-CoA pathway, CO2 => acetyl-CoA"
K10535	hao; hydroxylamine dehydrogenase; [EC:1.7.2.6] [RN:R10164]	Nutrient Cycling	Aerobic Ammonium Oxidation	bgc	hydroxylamine => nitrite			Nitrification= hydroxylamine => nitrite
K28504	amoA; ammonia monooxygenase subunit A; [EC:1.14.99.39]	Nutrient Cycling	Aerobic Ammonium Oxidation	bgc	ammonia => hydroxylamine			Nitrification = ammonia => hydroxylamine
