gene_id	rules	gene_description	pathway	topic_ecosystem	category	subcategory	note	reference
arsD	arsD	"arsD, Arsenic metallochaperone for efflux pump"		metals	Stressors	Heavy Metals	arsenic	
arsM	arsM|K07755	"arsM, arsenite methyltransferase"		metals	Stressors	Heavy Metals	arsenic	
aioA-aoxB	aioA-aoxB|K08356	"aioA-aoxB, arsenite oxidase large subunit"		metals	Stressors	Heavy Metals	arsenic	
aioB-aoxA	aioB-aoxA|K08355	"aioB-aoxA, arsenite oxidase small subunit"		metals	Stressors	Heavy Metals	arsenic	
arsC|K00537	arsC|K00537	"arsC, arsenate reductase (glutaredoxin)"		metals	Stressors	Heavy Metals	arsenic	
arsC|K03741	arsC|K03741	"arsC, arsenate reductase (thioredoxin)"		metals	Stressors	Heavy Metals	arsenic	
arsH	arsH|K11811	"arsH, arsenical resistance protein ArsH"		metals	Stressors	Heavy Metals	arsenic	
aioR-aoxR	aioR-aoxR	"aioR-aoxR, Transcriptional activator protein; two-component system"		metals	Stressors	Heavy Metals	arsenic	
aioS-aoxS	aioS-aoxS	"aioS-aoxS, Sensor protein; two-component system"		metals	Stressors	Heavy Metals	arsenic	
arsR	arsR|K03892	"arsR, arsenate/arsenite/antimonite-responsive transcriptional repressor"		metals	Stressors	Heavy Metals	arsenic	
acr3	acr3|K03325	"acr3, arsenite transporter"		metals	Stressors	Heavy Metals	arsenic	
arsA	arsA|K01551	"arsA, arsenite/tail-anchored protein-transporting ATPase"		metals	Stressors	Heavy Metals	arsenic	
arsB	arsB|K03893	"arsB, arsenical pump membrane protein"		metals	Stressors	Heavy Metals	arsenic	
cadC	cadC|K03765	"cadC, transcriptional activator of cad operon"		metals	Stressors	Heavy Metals	cadmium	
cadR	cadR	"cadR, Transcriptional regulator for cadmium resistance"		metals	Stressors	Heavy Metals	cadmium	
cadX	cadX|K21903	"cadX, lead/cadmium/zinc/bismuth-responsive transcriptional repressor"		metals	Stressors	Heavy Metals	cadmium	
cmtR	cmtR|K21885	"cmtR, cadmium/lead-responsive transcriptional repressor"		metals	Stressors	Heavy Metals	cadmium	
cusR-ylcA	cusR-ylcA|K07665	"cusR-ylcA, opper resistance phosphate regulon response regulator CusR"		metals	Stressors	Heavy Metals	cadmium	
cusS	cusS|K07644	"cusS, heavy metal sensor histidine kinase CusS"		metals	Stressors	Heavy Metals	cadmium	
czcR	czcR|K02483	"czcR, two-component system, OmpR family, response regulator"		metals	Stressors	Heavy Metals	cadmium	
czrA	czrA|K22043	"czrA, zinc-responsive transcriptional repressor"		metals	Stressors	Heavy Metals	cadmium	
K03088	K03088	"RNA polymerase sigma-70 factor, ECF subfamily"		metals	Stressors	Heavy Metals	cadmium	
K24079	K24079	nickel and cobalt resistance protein CnrY		metals	Stressors	Heavy Metals	cadmium	
K24078	K24078	nickel and cobalt resistance protein CnrR		metals	Stressors	Heavy Metals	cadmium	
cadD	cadD	"cadD, Cadmium resistance permease"		metals	Stressors	Heavy Metals	cadmium	
czcA	czcA|K15726	"czcA, heavy metal efflux system protein"		metals	Stressors	Heavy Metals	cadmium	
czcB	czcB|K15727	"czcB, membrane fusion protein, heavy metal efflux system"		metals	Stressors	Heavy Metals	cadmium	
czcC	czcC|K15725	"czcC, outer membrane protein, heavy metal efflux system"		metals	Stressors	Heavy Metals	cadmium	
cznB	cznB	"cznB, Cadmium-zinc-nickel efflux; transporter"		metals	Stressors	Heavy Metals	cadmium	
czrB	czrB|K21133	"czrB, multidrug efflux pump"		metals	Stressors	Heavy Metals	cadmium	
dmeF	dmeF	"dmeF, Broad range metal ion transporter"		metals	Stressors	Heavy Metals	cadmium	
rcnA-yohM	rcnA-yohM|K08970	"rcnA-yohM, nickel/cobalt transporter (NicO) family protein"		metals	Stressors	Heavy Metals	cadmium	
zitB-ybgR	zitB-ybgR|K16264	"zitB-ybgR, cobalt-zinc-cadmium efflux system protein"		metals	Stressors	Heavy Metals	cadmium	
zntA-yhhO	zntA-yhhO|K01534	"zntA-yhhO, Zn2+/Cd2+-exporting ATPase"		metals	Stressors	Heavy Metals	cadmium	
ncrB	ncrB	"ncrB, Ni-Co efflux; regulator"		metals	Stressors	Heavy Metals	cobalt	
ncrY	ncrY	"ncrY, Ni-Co efflux; regulator"		metals	Stressors	Heavy Metals	cobalt	
rcnR-yohL	rcnR-yohL|K23240	"rcnR-yohL, FrmR/RcnR family transcriptional regulator, repressor of rcnA expression"		metals	Stressors	Heavy Metals	cobalt	
K24073	K24073	RNA polymerase sigma factor CnrH		metals	Stressors	Heavy Metals	cobalt	
K06042	K06042	precorrin-8X/cobalt-precorrin-8 methylmutase		metals	Stressors	Heavy Metals	cobalt	
cmeA	cmeA|K03585	"cmeA, membrane fusion protein, multidrug efflux system"		metals	Stressors	Heavy Metals	cobalt	
cmeB	cmeB|K18138	"cmeB, multidrug efflux pump"		metals	Stressors	Heavy Metals	cobalt	
cmeC	cmeC|K18139	"cmeC, outer membrane protein, multidrug efflux system"		metals	Stressors	Heavy Metals	cobalt	
cnrT	cnrT	"cnrT, Ni-Co efflux system; cation diffusion facilitator"		metals	Stressors	Heavy Metals	cobalt	
corA	corA|K03284	"corA, magnesium transporter"		metals	Stressors	Heavy Metals	cobalt	
corB	corB	"corB, Magnesium-transporting ATPase"		metals	Stressors	Heavy Metals	cobalt	
corC	corC|K06189	"corC, hemolysin (HlyC) family protein"		metals	Stressors	Heavy Metals	cobalt	
ctpD	ctpD|K12951	"ctpD, cobalt/nickel-transporting P-type ATPase D"		metals	Stressors	Heavy Metals	cobalt	
dmeR	dmeR	"dmeR, Co-Ni dmeRF efflux system"		metals	Stressors	Heavy Metals	cobalt	
nrsD-nreB	nrsD-nreB|K07785	"nrsD-nreB, MFS transporter, NRE family, putaive nickel resistance protein"		metals	Stressors	Heavy Metals	cobalt	
rcnB-yohN	rcnB-yohN|K23243	"rcnB-yohN, nickel/cobalt homeostasis protein"		metals	Stressors	Heavy Metals	cobalt	
copC	copC|K07156	"copC, copper resistance protein C"		metals	Stressors	Heavy Metals	copper	
cutA	cutA|K03926	"cutA, periplasmic divalent cation tolerance protein"		metals	Stressors	Heavy Metals	copper	
cutC	cutC|K06201	"cutC, copper homeostasis protein"		metals	Stressors	Heavy Metals	copper	
mymT	mymT|K21609	"mymT, Cu-binding metallothionein"		metals	Stressors	Heavy Metals	copper	
pcoB	pcoB|K07233	"pcoB, copper resistance protein B"		metals	Stressors	Heavy Metals	copper	
pcoE	pcoE	"pcoE, Copper binding protein; downstream from regulatory genes"		metals	Stressors	Heavy Metals	copper	
copZ	copZ|K07213	"copZ, copper chaperone"		metals	Stressors	Heavy Metals	copper	
K09796	K09796	periplasmic copper chaperone A		metals	Stressors	Heavy Metals	copper	
K19342	K19342	copper chaperone NosL		metals	Stressors	Heavy Metals	copper	
cinA	cinA	"cinA, Copper-binding azurin-like protein"		metals	Stressors	Heavy Metals	copper	
cueO	cueO|K14588	"cueO, cuproxidase"		metals	Stressors	Heavy Metals	copper	
cutO	cutO	"cutO, Multicopper oxidase"		metals	Stressors	Heavy Metals	copper	
