name	parent	child	topic_ecosystem	notes
Methanogen	methanogen	mcr & notOtherMethanogen	energy	
	mcr	K00399 | K00400 | K00401 | K00402 | K03421 | K03422	energy	
	notOtherMethanogen	not(OtherAjMethanogen)	energy	
	OtherAjMethanogen	sulfatereducer | Denitrifier | AerobicAmmoniaOxidizer | comammox | annamox | Phototroph | ETC60	energy	
Aerobic Ammonia Oxidizer	AerobicAmmoniaOxidizer	AmmoniaMonooxygenase | [AmmoniaMonooxygenase & HydroxylamineDehydrogenase]	energy	
	AmmoniaMonooxygenase	EC1.14.99.39 | K10944 | K10945 | K10946	energy	
	HydroxylamineDehydrogenase	EC1.7.2.6 | K10535	energy	
Comammox	comammox	AmmoniaMonooxygenase & NitriteOxidoreductase & HydrazineDeydrogenase	energy	
	NitriteOxidoreductase	K00370 | K00371	energy	
	HydrazineDeydrogenase	EC1.7.2.8 | K20935	energy	
annamox	annamox	HydrazineDeydrogenase & HydrazineSynthase	energy	
	HydrazineSynthase	EC1.7.2.7 | K20932 | K20933 | K20934	energy	
Nitrogen fixer	NitrogenFixer	Nitrogenase	energy	
	Nitrogenase	EC1.18.6.1 | EC1.18.6.2 | K02591 | K02586 | K02588 | K00531 | K22897 | K22896 | K22898 | K22899	energy	
Phototroph	Phototroph	PhotosystemI | PhotosystemII	energy	
	PhotosystemI	K02689 | K02690 | K026901 | K02692 | K02693 | K02694 | K08940 | K08941 | K08942 | K08943	energy	
	PhotosystemII	K02703 | K02704 | K02705 | K02706 | K02707 | K02708 | K08928 | K08929	energy	
	ETC60	percent60ComplexIA | percent60ComplexIB | percent60ComplexIC	energy	
	ETC50	percent50ComplexIA | percent50ComplexIB | percent50ComplexIC	energy	
	percent50ComplexIA	percent(50,ComplexIA)	energy	
	percent50ComplexIB	percent(50,ComplexIB)	energy	
	percent50ComplexIC	percent(50,ComplexIC)	energy	
	percent60ComplexIA	percent(60,ComplexIA)	energy	
	percent60ComplexIB	percent(60,ComplexIB)	energy	
