category	subcategory	function_name	function_ids	long_function_name	gene_symbol
CAZY	CAZY	Cellulose	AA16, AA9, GH45, GH6, GH7, GH9, GH16	lytic cellulose monooxygenase, copper dependent lytic polysaccharide monooxygenases, endoglucanase, cellobiohydrolase, endo-beta-1,4-glucanase (EC 3.2.1.4),  endo-1,3-beta-glucanase (EC 3.2.1.39)
CAZY	CAZY	Pectin	GH106, GH105, GH138, GH139, GH143, GH28, GH53, GH78, PL1, PL10, PL11,PL2, PL22, PL26, PL3, PL4, PL9	  unsaturated rhamnogalacturonyl hydrolase (EC 3.2.1.172); d-4,5-unsaturated beta-glucuronyl hydrolase (EC 3.2.1.-); d-4,5-unsaturated alpha-galacturonidase (EC 3.2.1.-), exopolygalacturonate lyase (EC 4.2.2.9); thiopeptidoglycan lyase (EC 4.2.2.-), rhamnogalacturonan endolyase (EC 4.2.2.23), rhamnogalacturonan exolyase (EC 4.2.2.24), oligogalacturonate lyase / oligogalacturonide lyase (EC 4.2.2.6), rhamnogalacturonan endolyase (EC 4.2.2.23); rhamnogalacturonan exolyase (EC 4.2.2.24), pectate lyase (EC 4.2.2.2, EC 4.2.2.10), exo-pectate lyase (EC 4.2.2.9), alpha-L-rhamnosidase (EC 3.2.1.40); rhamnogalacturonan alpha-L-rhamnohydrolase (EC 3.2.1.174); L-Rhap-alpha-1,3-D-Apif -specific alpha-1,3-L-rhamnosidase (EC 3.2.1.-), endo-beta-1,4-galactanase (EC 3.2.1.89), polygalacturonase (EC 3.2.1.15); alpha-L-rhamnosidase (EC 3.2.1.40); exo-polygalacturonase (EC 3.2.1.67); exo-polygalacturonosidase (EC 3.2.1.82); rhamnogalacturonase (EC 3.2.1.171); rhamnogalacturonan alpha-1,2-galacturonohydrolase (EC 3.2.1.173); endo-xylogalacturonan hydrolase (EC 3.2.1.-), 2-keto-3-deoxy-D-lyxo-heptulosaric acid hydrolase (EC 3.2.1.-), alpha-2-O-Me-L-fucosidase (EC 3.2.1.-), alpha-galacturonidase (EC 3.2.1.-), rhamnogalacturonan alpha-L-rhamnohydrolase (EC 3.2.1.174),
CAZY	CAZY	Hemicellulose	GH10, GH43, GH67, GH51, GH12, GH44, GH74, GH9, GH10, GH26, GH39, GH8, GH113, GH130, GH134, GH76, GH92, GH99, GH63, GH38, GH47, GH125, GH124, GH128, GH31, GH132, GH144, GH148, GH149, GH152, GH45, GH55, GH64, GH72, GH81, GH94
CAZY	CAZY	Xyloglcan, pt 1	GH67, GH51, GH12, GH44, GH74, GH9	 endoglucanase (EC 3.2.1.4); xyloglucan hydrolase (EC 3.2.1.151); beta-1,3-1,4-glucanase (EC 3.2.1.73); xyloglucan endotransglycosylase (EC 2.4.1.207),  xyloglucanase (EC 3.2.1.151), xyloglucan-specific endo-beta-1,4-glucanase / endo-xyloglucanase (EC 3.2.1.151),  oligoxyloglucan reducing end-specific cellobiohydrolase (EC 3.2.1.150),
CAZY	CAZY	Xyloglcan, pt 2	GH10	endo-1,4-beta-xylanase (EC 3.2.1.8); endo-1,3-beta-xylanase (EC 3.2.1.32); tomatinase (EC 3.2.1.-); xylan endotransglycosylase (EC 2.4.2.-)
CAZY	CAZY	Xyloglcan, pt 3	GH43	beta-xylosidase (EC 3.2.1.37); alpha-L-arabinofuranosidase (EC 3.2.1.55); arabinanase (EC 3.2.1.99); xylanase (EC 3.2.1.8); galactan 1,3-beta-galactosidase  (EC 3.2.1.145); alpha-1,2-L-arabinofuranosidase (EC 3.2.1.-); exo-alpha-1,5-L-arabinofuranosidase (EC 3.2.1.-); [inverting] exo-alpha-1,5-L-arabinanase (EC 3.2.1.-); beta-1,3-xylosidase (EC 3.2.1.-)
CAZY	CAZY	Chitin	AA11, GH18, GH19, GH46, GH75, GH80	copper-dependent lytic polysaccharide monooxygenases (LPMOs), chitinase (EC 3.2.1.14), chitosanase (EC 3.2.1.132), chitobiose phosphorylase (EC 2.4.1.-)
CAZY	CAZY	Starch	AA13, GH119, GH126, GH13, GH14, GH15, GH57, GH97	copper-dependent lytic polysaccharide monooxygenases (LPMOs),   alpha-amylase (EC 3.2.1.1),    beta-amylase (EC 3.2.1.2), pullulanase (EC 3.2.1.41); cyclomaltodextrin glucanotransferase (EC 2.4.1.19); cyclomaltodextrinase (EC 3.2.1.54); trehalose-6-phosphate hydrolase (EC 3.2.1.93); oligo-alpha-glucosidase (EC 3.2.1.10); maltogenic amylase (EC 3.2.1.133); neopullulanase (EC 3.2.1.135); alpha-glucosidase (EC 3.2.1.20); maltotetraose-forming alpha-amylase (EC 3.2.1.60); isoamylase (EC 3.2.1.68); glucodextranase (EC 3.2.1.70); maltohexaose-forming alpha-amylase (EC 3.2.1.98); maltotriose-forming alpha-amylase (EC 3.2.1.116); branching enzyme (EC 2.4.1.18); trehalose synthase (EC 5.4.99.16); 4-alpha-glucanotransferase (EC 2.4.1.25); maltopentaose-forming alpha-amylase (EC 3.2.1.-) ; amylosucrase (EC 2.4.1.4) ; sucrose phosphorylase (EC 2.4.1.7); malto-oligosyltrehalose trehalohydrolase (EC 3.2.1.141); isomaltulose synthase (EC 5.4.99.11); malto-oligosyltrehalose synthase (EC 5.4.99.15); amylo-alpha-1,6-glucosidase (EC 3.2.1.33); alpha-1,4-glucan: phosphate alpha-maltosyltransferase (EC 2.4.99.16); 6'-P-sucrose phosphorylase (EC 2.4.1.-)
CAZY	CAZY	Galactan	GH110, GH145, GH27, GH5, GH42, GH98	alpha-galactosidase (EC 3.2.1.22); alpha-1,3-galactosidase (EC 3.2.1.-), beta-galactosidase (EC 3.2.1.23),
CAZY	CAZY	Xylan	GH10, GH26, GH39, GH43, GH8	endo-1,4-beta-xylanase (EC 3.2.1.8); endo-1,3-beta-xylanase (EC 3.2.1.32); tomatinase (EC 3.2.1.-); xylan endotransglycosylase (EC 2.4.2.-),  beta-xylosidase (EC 3.2.1.37),  xylan alpha-1,2-glucuronidase (3.2.1.131),
