gene	ko	module	module_name	path	product_ids	product_names	substrate_ids	substrate_names
hexokinase/glucokinase [EC:2.7.1.1 2.7.1.2] [RN:R01786]	K00844	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	0,0	C00668	alpha-D-Glucose 6-phosphate	C00267	alpha-D-Glucose
hexokinase/glucokinase [EC:2.7.1.1 2.7.1.2] [RN:R01786]	K12407	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	0,1	C00668	alpha-D-Glucose 6-phosphate	C00267	alpha-D-Glucose
hexokinase/glucokinase [EC:2.7.1.1 2.7.1.2] [RN:R01786]	K00845	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	0,2	C00668	alpha-D-Glucose 6-phosphate	C00267	alpha-D-Glucose
polyphosphate glucokinase [EC:2.7.1.63] [RN:R02189]	K00886	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	0,3	C00668	alpha-D-Glucose 6-phosphate	C00267	alpha-D-Glucose
K00918 ADP-dependent glucokinase [EC:2.7.1.147] [RN:R09085]	K08074	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	0,4	C00668	alpha-D-Glucose 6-phosphate	C00267	alpha-D-Glucose
ADP-dependent phosphofructokinase [EC:2.7.1.146] [RN:R09084]	K00918	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	0,5	C05378	beta-D-Fructose 1,6-bisphosphate	C05345	beta-D-Fructose 6-phosphate
glucose-6-phosphate isomerase [EC:5.3.1.9] [RN:R02740]	K01810	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	1,0	C05345	beta-D-Fructose 6-phosphate	C00668	alpha-D-Glucose 6-phosphate
glucose-6-phosphate isomerase [EC:5.3.1.9] [RN:R02740]	K06859	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	1,1	C05345	beta-D-Fructose 6-phosphate	C00668	alpha-D-Glucose 6-phosphate
glucose-6-phosphate isomerase [EC:5.3.1.9] [RN:R02740]	K13810	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	1,2	C05345	beta-D-Fructose 6-phosphate	C00668	alpha-D-Glucose 6-phosphate
glucose-6-phosphate isomerase [EC:5.3.1.9] [RN:R02740]	K15916	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	1,3	C05345	beta-D-Fructose 6-phosphate	C00668	alpha-D-Glucose 6-phosphate
