gene_id	gene_description	pathway	topic_ecosystem	category	subcategory	fasta
K25220	MtxB; Quaternary amine methyltransferase (Glycine betaine methyltransferase, MtgB) [EC:2.1.1.376]	QA demethylation	METHYL	Catabolism	Anaerobic	
METHYL_0001	MtgC; Quaternary amine/glycine betaine corrinoid binding protein	QA demethylation	METHYL	Catabolism	Anaerobic	MtgC_DSY3155_Desulfitobacterium_hafniense_Q24SP8;MV8465_Methanolobus_vulcani_b1d_corrinoid_mtgC_homolog_WP_154809803.1
METHYL_0002	MtgA; Quaternary amine/glycine betaine specific methylcorrinoid:THF methyltransferase	QA demethylation	METHYL	Catabolism	Anaerobic	MtgA_DSY3157_Desulfitobacterium_hafniense_Y51_substrate_glycine_betaine_corrinoid:THF_Q24SP6-1
METHYL_0003	MV8460; methanogenic glycine betaine:corrinoid methyltransferase	QA demethylation	METHYL	Catabolism	Anaerobic	MV8460_methanogenic_Methanolobus_vulcani_b1d_substrate_glycine_betaine_WP_154809802.1
METHYL_0004	MV8465; methanogenic glycine betaine corrinoid binding protein	QA demethylation	METHYL	Catabolism	Anaerobic	MV8465_Methanolobus_vulcani_b1d_corrinoid_mtgC_homolog_WP_154809803.1
K14080	MV10360; methanogenic glycine betaine specific methylcorrinoid:CoM methyltransferase [EC:2.1.1.377]	QA demethylation	METHYL	Catabolism	Anaerobic	
METHYL_0005	MV10335/RamM; methanogenic corrinoid-protein reductive activase	QA demethylation	METHYL	Catabolism	Anaerobic	MV10335_methanogenic_Methanolobus_vulcani_b1d_substrate_glycine_betaine_acrtivase_ramM
METHYL_0006	MtpB; proline betaine:corrinoid methyltransferase	QA demethylation	METHYL	Catabolism	Anaerobic	MtpB_proline_betaine:corrinoid_methyltransferase_Eubacterium_limosum_ATCC_8486
METHYL_0007	MtcB: L-carnitine:corrinoid methyltransferase	QA demethylation	METHYL	Catabolism	Anaerobic	MtcB_L-carnitine:corrinoid_methyltransferase_Eubacterium_limosum_ATCC_8486
METHYL_0008	MtyB; gamma-butyrobetaine:corrinoid methyltransferase	QA demethylation	METHYL	Catabolism	Anaerobic	MtyB_gamma-butyrobetaine:corrinoid_methyltransferase_Eubacterium_limosum_ATCC_8486
METHYL_0009	MtqC; quaternary amine promiscuous corrinoid binding protein	QA demethylation	METHYL	Catabolism	Anaerobic	MtqC_promiscuous_QA_corrinoid_Carnitine_ProlineBetaine_Butyrobetaine_Eubacterium_limosum_ATCC_8486
METHYL_0010	MtqA; quaternary amine promiscuous methylcorrinoid:THF methyltransferase	QA demethylation	METHYL	Catabolism	Anaerobic	MtqA_promiscuous_corrinoid:THF_MT_Carnitine_ProlineBetaine_Butyrobetaine_Eubacterium_limosum_ATCC_8486
METHYL_0011	RamQ; quaternary amine promiscuous corrinoid protein reductive activase	QA demethylation	METHYL	Catabolism	Anaerobic	RamQ_promiscuous_MtqC_activase_Carnitine_ProlineBetaine_Butyrobetaine_Eubacterium_limosum_ATCC_8486
K01599	uroporphyrinogen decarboxylase [EC:4.1.1.37] [RN:R03197] (methyltransferase homolog/frequent mis-annotation)	Heme biosynthesis, animals and fungi, glycine => heme	METHYL	Catabolism	Anaerobic	
K14083	MttB/MtxB; Trimethylamine methyltransferase [EC:2.1.1.250], potentially a quaternary amine enzyme if lacking pyrrolysine	QA demethylation	METHYL	Catabolism	Anaerobic	
K14084	MttC; trimethylamine corrinoid binding protein [EC:2.1.1.247]	QA demethylation	METHYL	Catabolism	Anaerobic	
K16178	MtbB; dimethylamine methyltransferase	DMA demethylation	METHYL	Catabolism	Anaerobic	
K16179	MtbC; dimethylamine corrinoid binding protein	DMA demethylation	METHYL	Catabolism	Anaerobic	
K16176	MtmB; monomethylamine methyltransferase	MMA demethylation	METHYL	Catabolism	Anaerobic	
K16177	MtmC; monomethylamine corrinoid binding protein	MMA demethylation	METHYL	Catabolism	Anaerobic	
K14082	MtbA; methylamine methylcorrinoid:CoM methyltransferase [EC:2.1.1.247]	Methylamine:CoM methyltransfer	METHYL	Catabolism	Anaerobic	
METHYL_0012	RamA; methylamine corrinoid binding protein reductive activase	Methylamine:CoM methyltransfer	METHYL	Catabolism	Anaerobic	RamA;_methylamine_corrinoid_binding_protein_reductive_activase_Methanosarcina_barkeri
K16180	PylB; Methylornithine synthase [EC:5.4.99.58]	Pyrrolysine biosynthesis	METHYL	Amino Acid Biosynthesis	Cofactor/Other_biosynthesis	
K16181	PylC; Pyrrolysine synthetase [EC:6.3.2.59]	Pyrrolysine biosynthesis	METHYL	Amino Acid Biosynthesis	Cofactor/Other_biosynthesis	
K16182	PylD; Pyrrolysine synthase [EC:1.4.1.-]	Pyrrolysine biosynthesis	METHYL	Amino Acid Biosynthesis	Cofactor/Other_biosynthesis	
K11627	PylS; pyrrolysyl-tRNA synthetase [EC:6.1.1.26]	Pyrrolysine biosynthesis	METHYL	Amino Acid Biosynthesis	Cofactor/Other_biosynthesis	
K14239	PylT; tRNA-pyl	Pyrrolysine biosynthesis	METHYL	Amino Acid Biosynthesis	Cofactor/Other_biosynthesis	
K02302	CysG; uroporphyrin-III C-methyltransferase/precorrin-2 dehydrogenase/sirohydrochlorin ferrochelatase [ec:2.1.1.107;1.3.1.76;4.99.1.4]	Cobalamin biosynthesis	METHYL	Cofactors	Cofactor/Other_biosynthesis	
K24866	SirC; preccorin-2 dehydrogenase [EC:1.3.1.76]	Cobalamin biosynthesis	METHYL	Cofactors	Cofactor/Other_biosynthesis	
K02303	CobAM; uroporphyrin-III C-methyltransferase [EC:2.1.1.107]	Cobalamin biosynthesis	METHYL	Cofactors	Cofactor/Other_biosynthesis	
K22011	CfbA; sirohydrochlorin cobalto/nickelchelatase [EC:4.99.1.3;4.99.1.110]	Cobalamin biosynthesis	METHYL	Cofactors	Cofactor/Other_biosynthesis	
K03795	CbiX; sirohydrochlorin cobaltochelatase [ED:4.99.1.3]	Cobalamin biosynthesis	METHYL	Cofactors	Cofactor/Other_biosynthesis	
K02190	CbiX; sirohydrochlorin cobaltochelatase [ED:4.99.1.3]	Cobalamin biosynthesis	METHYL	Cofactors	Cofactor/Other_biosynthesis	
K03394	CobI, CbiL; precorrin-2/cobalt-factor-2 C20-methyltransferase [EC:2.1.1.130;2.1.1.151]	Cobalamin biosynthesis	METHYL	Cofactors	Cofactor/Other_biosynthesis	
K21479	CbiH60; cobalt-factor-III methyltransferase	Cobalamin biosynthesis	METHYL	Cofactors	Cofactor/Other_biosynthesis	
K05934	CobJ, CibH; precorrin-3B C17-methyltransferase/cobalt-factor-III methyltransferase [EC:2.1.1.131;2.1.1.272]	Cobalamin biosynthesis	METHYL	Cofactors	Cofactor/Other_biosynthesis	
