gene	call	notes	info
A_Nitrobacter_hamburgensis_YP_578638  	NxrA	Cytoplasmic Nitrite oxidoreductase	
Acidovorax delafieldii_NARG	NarG	Nitrogen reductase	
ACTB1_Anaeromyxobacter_dehalogenans_YP_002491266	ACTB1	Not sure if we want this	
ACTB1_Bdellovibrio_bacteriovorus_NP_96849 	ACTB1	Not sure if we want this	
ACTB1_Candidatus_Koribacter_versatilis_Ellin345_YP_592078	ACTB1	Not sure if we want this	
ACTB1_Candidatus_Solibacter_usitatus_YP_821785	ACTB1	Not sure if we want this	
ACTB1_Chloroflexus_aggregans_YP_002464666	ACTB1	Not sure if we want this	
ACTB1_Cytophaga_hutchinsonii_YP_678817	ACTB1	Not sure if we want this	
ACTB1_Flavobacterium_psychrophilum_YP_001295304 	ACTB1	Not sure if we want this	
ACTB1_Gallionella_capsiferriformans_ES_2_YP_003846257	ACTB1	Not sure if we want this	
ACTB1_Geobacter_metallireducens_GS_15_YP_384764	ACTB1	Not sure if we want this	
ACTB1_Geobacter_sp_M18_YP_004200644	ACTB1	Not sure if we want this	
ACTB1_Geobacter_uraniireducens_Rf4_YP_001231524	ACTB1	Not sure if we want this	
ACTB1_Gluconacetobacter_diazotrophicus_YP_001602862	ACTB1	Not sure if we want this	
ACTB1_Leptospira_interrogans_serovar_NP_713447 	ACTB1	Not sure if we want this	
ACTB1_Mariprofundus_ferrooxydans_ZP_01451016	ACTB1	Not sure if we want this	
ACTB1_Methylobacterium_sp_4_YP_001772545 	ACTB1	Not sure if we want this	
ACTB1_Nitrosococcus_oceani_YP_343269 	ACTB1	Not sure if we want this	
ACTB1_Opitutus_terrae_gb_ACB77208	ACTB1	Not sure if we want this	
ACTB1_Ralstonia_eutropha_YP_298623	ACTB1	Not sure if we want this	
ACTB1_Rhodothermus_marinus_gb_ABV55245	ACTB1	Not sure if we want this	
ACTB1_Salinibacter_ruber_emb_CBH25246	ACTB1	Not sure if we want this	
ACTB1_Sideroxydans_lithotrophicus_ES_1_YP_003523268	ACTB1	Not sure if we want this	
Alkalilimnicola_ehrlichii_ABI55571	ArxA	Anaerobic arsenite oxidase	
ArrA_Bacillus_selenitireducens_gb_AAQ19491 	ArrA	Arsenate reductase	
ArrA_Chrysiogenes_arsenatis_gb_AAU11839	ArrA	Arsenate reductase	
