gene	call
NASQAN2011_051_A_bin.9_Ga0466380_000062_16	amoA-Nitrifier
stroublescreek_2019_sw_WHONDRS-S19S_0089_B_bin.19_k121_1382190_6	pmoA-Methanotroph
NASQAN2016_083_B_bin.62_k121_494990_1	pmoA-Methanotroph
NASQAN2015_172_B_bin.50_k121_110295_6	pmoA-Methanotroph
NASQAN2015_010_F_bin.15_scaffold_716_4	pmoA-Methanotroph
NASQAN2015_010_B_bin.40_k121_261665_1	pmoA-Methanotroph
NASQAN2015_010_A_bin.16_Ga0466474_000760_3	pmoA-Methanotroph
NASQAN2014_188_B_bin.62_k121_1916134_1	pmoA-Methanotroph
lewisrun_2019_sw_WHONDRS-S19S_0014_B_bin.22_k121_1561591_36	pmoA-Methanotroph
icacos_2019_sw_WHONDRS-S19S_0094_B_bin.101_k121_1011190_4	pmoA-Methanotroph
hugercreek_2019_sw_WHONDRS-S19S_0044_F_bin.32_scaffold_210_8	pmoA-Methanotroph
hugercreek_2019_sw_WHONDRS-S19S_0044_B_bin.34_k121_1606639_3	pmoA-Methanotroph
gunnisonriver_2019_sw_WHONDRS-S19S_0062_B_bin.67_k121_1407577_11	pmoA-Methanotroph
cobbmillcreek_2019_sw_WHONDRS-S19S_0090_B_bin.17_k121_961747_19	pmoA-Methanotroph
blueriver_2019_sw_WHONDRS-S19S_0024_B_bin.60_k121_1016154_8	pmoA-Methanotroph
blueriver_2019_sw_WHONDRS-S19S_0024_B_bin.60_k121_1651208_1	pmoA-Methanotroph
blackearthcreek_2019_sw_WHONDRS-S19S_0061_F_bin.11_scaffold_109_4	pmoA-Methanotroph
