gene_id	gene_description	pathway	topic_ecosystem	category	subcategory
K03550	kdpD; 2-component system OmpR family sensor histidine kinase	engineered systems	engineered systems	osmoprotectant	salt-in
K07667	kdpE; 2-component system OmpR family sensor histidine kinase	engineered systems	engineered systems	osmoprotectant	salt-in
K01545	kdpF; K+transporting ATPase ATPase F chain	engineered systems	engineered systems	osmoprotectant	salt-in
K01546	kdpA; K+transporting ATPase ATPase A chain	engineered systems	engineered systems	osmoprotectant	salt-in
K01547	kdpB; K+transporting ATPase ATPase B chain	engineered systems	engineered systems	osmoprotectant	salt-in
K01548	kdpC; K+transporting ATPase ATPase C chain	engineered systems	engineered systems	osmoprotectant	salt-in
K03315	nhaC; Na+:H+ antiporter	engineered systems	engineered systems	osmoprotectant	salt-in
K07084	nhaC; Na+:H+ antiporter	engineered systems	engineered systems	osmoprotectant	salt-in
K05565	"mnhA	 mrp ; multicomponent Na+:H+ antiporter"	engineered systems	engineered systems	osmoprotectant	salt-in
K05566	mnhB; multicomponent Na+:H+ antiporter	engineered systems	engineered systems	osmoprotectant	salt-in
K05567	mnhC; multicomponent Na+:H+ antiporter	engineered systems	engineered systems	osmoprotectant	salt-in
K05568	mnhD; multicomponent Na+:H+ antiporter	engineered systems	engineered systems	osmoprotectant	salt-in
K05569	mnhE; multicomponent Na+:H+ antiporter	engineered systems	engineered systems	osmoprotectant	salt-in
K05570	mnhF; multicomponent Na+:H+ antiporter	engineered systems	engineered systems	osmoprotectant	salt-in
K05571	mnhG; multicomponent Na+:H+ antiporter	engineered systems	engineered systems	osmoprotectant	salt-in
K05559	phaAB; Polyhydroxyalkanoate (PHA) K transporters (multi-subunit)	engineered systems	engineered systems	osmoprotectant	salt-in
K05560	phaC; Polyhydroxyalkanoate (PHA) K transporters (multi-subunit)	engineered systems	engineered systems	osmoprotectant	salt-in
K05561	phaD; Polyhydroxyalkanoate (PHA) K transporters (multi-subunit)	engineered systems	engineered systems	osmoprotectant	salt-in
K05562	phaE; Polyhydroxyalkanoate (PHA) K transporters (multi-subunit)	engineered systems	engineered systems	osmoprotectant	salt-in
K05563	phaF; Polyhydroxyalkanoate (PHA) K transporters (multi-subunit)	engineered systems	engineered systems	osmoprotectant	salt-in
K05564	phaG; Polyhydroxyalkanoate (PHA) K transporters (multi-subunit)	engineered systems	engineered systems	osmoprotectant	salt-in
K03499	"trkA	 ktrA; trkA type sodium hydrogen exchanger"	engineered systems	engineered systems	osmoprotectant	salt-in
K03498	"trkH	 ktrB; trkH type K uptake"	engineered systems	engineered systems	osmoprotectant	salt-in
K02168	"betP	T	S; choline/glycine/proline betaine transport protein"	engineered systems	engineered systems	osmoprotectant	methyl-related compatible solutes
K03451	choline/carnitine/betaine/glycine/BCCT transporter 	engineered systems	engineered systems	osmoprotectant	methyl-related compatible solutes
K05245	L-carnitine/gamma-butyrobetaine antiporter	engineered systems	engineered systems	osmoprotectant	methyl-related compatible solutes
