gene	call
sharkriverslough_2019_sw_WHONDRS-S19S_0042_B_bin.90_k121_397025_1	other-None
riogrande_2019_sw_WHONDRS-S19S_0066_B_bin.130_k121_990031_60	other-None
providencecreek_2019_sw_WHONDRS-S19S_0007_B_bin.10_k121_1581149_4	other-None
NASQAN2015_111_B_bin.76_k121_226837_116	other-None
NASQAN2014_190_B_bin.96_k121_3766_2	other-None
muddycreek_2019_sw_WHONDRS-S19S_0082_B_bin.95_k121_853774_5	other-None
icacos_2019_sw_WHONDRS-S19S_0094_F_bin.26_scaffold_99_5	other-None
icacos_2019_sw_WHONDRS-S19S_0094_B_bin.166_k121_1114214_14	other-None
greatmiami_2019_sw_WHONDRS-S19S_0099_F_bin.30_scaffold_496_3	other-None
flintriver_2019_sw_WHONDRS-S19S_0015_B_bin.21_k121_1443778_1	other-None
flintriver_2019_sw_WHONDRS-S19S_0015_A_bin.5_Ga0451753_0000472_14	other-None
flintriver_2019_sw_WHONDRS-S19S_0015_A_bin.5_Ga0451753_0001210_3	other-None
flintriver_2019_sw_WHONDRS-S19S_0015_A_bin.5_Ga0451753_0001210_4	other-None
flintriver_2019_sw_WHONDRS-S19S_0015_A_bin.5_Ga0451753_0001772_1	other-None
sharkriverslough_2019_sw_WHONDRS-S19S_0042_B_bin.90_k121_391728_1	nxr-None
riogrande_2019_sw_WHONDRS-S19S_0066_B_bin.137_k121_1578656_32	nxr-Nitrifier
riogrande_2019_sw_WHONDRS-S19S_0066_A_bin.62_Ga0451725_0007910_5	nxr-Nitrifier
flintriver_2019_sw_WHONDRS-S19S_0015_B_bin.21_k121_237162_4	nxr-Nitrifier
blackwarrior_2019_sw_WHONDRS-S19S_0021_B_bin.98_k121_1348658_11	nxr-Nitrifier
blackwarrior_2019_sw_WHONDRS-S19S_0021_B_bin.98_k121_1581374_9	nxr-Nitrifier
NASQAN2011_330_B_bin.17_k121_430440_3	nxr/nar-N utilization
gunnisonriver_2019_sw_WHONDRS-S19S_0062_A_bin.22_Ga0451722_0001801_3	nxr/nar-N utilization
flintriver_2019_sw_WHONDRS-S19S_0015_A_bin.5_Ga0451753_0001351_7	nxr/nar-N utilization
Yukon_2004-1_F_bin.10_scaffold_25058_1	narG-N reducer
Yukon_2004-1_F_bin.10_scaffold_678_1	narG-N reducer
yakimariver_2019_sw_WHONDRS-S19S_0060_B_bin.3_k121_2728883_1	narG-N reducer
yakimariver_2019_sw_WHONDRS-S19S_0060_B_bin.3_k121_3072591_1	narG-N reducer
whiteclaycreek2_2019_sw_WHONDRS-S19S_0038_B_bin.50_k121_1710496_1	narG-N reducer
watershed3_2019_sw_WHONDRS-S19S_0084_F_bin.6_scaffold_35_30	narG-N reducer
watershed3_2019_sw_WHONDRS-S19S_0084_B_bin.47_k121_1345490_1	narG-N reducer
watershed3_2019_sw_WHONDRS-S19S_0084_B_bin.47_k121_924190_1	narG-N reducer
watershed3_2019_sw_WHONDRS-S19S_0084_B_bin.45_k121_975195_1	narG-N reducer
watershed3_2019_sw_WHONDRS-S19S_0084_B_bin.15_k121_1272084_2	narG-N reducer
watershed3_2019_sw_WHONDRS-S19S_0084_A_bin.8_Ga0451740_0000093_1	narG-N reducer
watershed3_2019_sw_WHONDRS-S19S_0084_A_bin.8_Ga0451740_0001905_7	narG-N reducer
nebranchanacostia_2019_sw_WHONDRS-S19S_0081_B_bin.6_k121_1546998_5	narG-N reducer
NASQAN2016_164_F_bin.17_scaffold_1152_1	narG-N reducer
NASQAN2016_164_F_bin.17_scaffold_8891_2	narG-N reducer
NASQAN2015_227_F_bin.21_scaffold_2406_1	narG-N reducer
NASQAN2015_227_F_bin.21_scaffold_4919_3	narG-N reducer
NASQAN2015_227_B_bin.17_k121_559871_7	narG-N reducer
NASQAN2015_172_B_bin.54_k121_327740_1	narG-N reducer
